,,,,,,,,誰が感じる課題か,,,,,,
,,,,Pts Journey,＃,課題,詳細,"AMD
専門医センモンイ","非専門
眼科医ヒセンモンガンカイ",患者,その他,課題の要因（なぜ起きているのか）,解決方針（何があれば解決するのか）,検討事項ケントウジコウ
,A,受診・紹介,a,受診・紹介ジュシンショウカイ,1,早期GA患者の自覚症状の乏しさ,•自覚症状に乏しく受診につながらない,,,〇,,GAは緩徐進行で初期は自覚症状に乏しく、患者が加齢変化として受け止めやすい。視力以外の見えにくさも言語化されにくく、日常生活の困りごとが受診理由として顕在化しにくい。,自覚症状以外の訴え方、受診勧奨のトリガー、問診で拾うべき生活上の変化を整理する必要がある。加齢変化との違いをどう示すかも論点となる。,受診勧奨につながる生活変化・訴えの整理セイリ
,,,,,,,•受診機会・検診機会の不足/潜在患者を顕在化させる仕組みの未整備,,,,"〇
（仕組み）",無症状段階でGAを拾い上げる健診・検診の導線が限定的で、眼底異常を見つけても眼科受診や専門医紹介へ接続する運用が標準化されていない。,どの機会で眼底異常を拾い、一般眼科受診や専門医紹介へ接続するかを整理する必要がある。キカイ,眼底異常の発見から眼科受診へつなぐ導線ハッケン
,,,,,2,紹介・逆紹介フローの未確立,•紹介基準が不明確、地域連携ネットワークの未整備,〇,〇,,,GA疑い時の紹介基準、紹介先、逆紹介後の役割分担が地域で定まっておらず、一般眼科が紹介判断に迷いやすい。施設間で期待される診療範囲も不統一で、患者導線が安定しない。,紹介基準、必要検査、紹介状記載項目、逆紹介後の経過観察分担を地域連携の論点として整理する必要がある。エリア完結型にするか中核施設集約型にするかも検討課題となる。,GA疑い時の紹介基準と必要検査
,,,,,,,•過去の経験から患者さんを紹介しても返されるという意識,〇,〇,,,過去に紹介後すぐ返された経験や、治療介入につながらなかった記憶が一般眼科の行動を抑制している可能性。カノウセイ,一般眼科から専門医への紹介タイミング、逆紹介後の役割を明確化し、紹介が患者利益につながる実感を持てる運用設計が必要である。,紹介・逆紹介のタイミングと役割分担
,B,診断,a,問診,1,GAを見つける意識の低さ,•GAを意識して問診していないので気付かない,〇,〇,,,GAを治療前提で見つける疾患として問診時に想起していないため、読書・運転・羞明など視力以外の訴えをGA疑いにつなげにくい。GAの疾患想起が不十分であり、鑑別を意識した症状の質的評価（中心暗点、進行様式等）に踏み込んだ問診が実施されにくい。,GAを疑う問診項目と、nAMDや加齢変化との違和感を拾う質問例を整理する必要がある。一般眼科でも短時間で再現可能な問診フレームへ落とし込めるかが論点となる。,"GAを疑う問診項目
短時間で使える問診フレーム"
,,,,,2,患者さんの困りごとの把握不足,•日常生活への影響（運転・読書・趣味など）を十分に把握できていない,〇,〇,,,患者の日常生活上の支障や将来不安を十分に把握できないと、治療意義や緊急度の判断材料が不足する。視力だけでは読書、運転、趣味、家事への影響を捉えきれない。,運転、読書、家事、趣味など把握すべき生活機能を整理し、治療判断やICにどう反映するか議論が必要である。,生活機能の確認項目、治療判断の基準チリョウハンダンキジュン
,,,b,検査,1,GAを発見する検査習慣の未確立,•GA疑いでの検査が習慣化されていない、検査体制の未整備,〇,,,,GA疑い時にどの患者へどの検査を行うかが診療フローに組み込まれておらず、OCT・眼底検査で止まりやすい。検査実施のトリガーや院内体制が標準化されていない。,初診時、経過観察時、nAMDフォロー中など場面別に必要検査を整理し、運用モデルを示す必要がある。,診療プロセス（初診、フォロー、治療判断等）ごとの必要検査と実施順序
,,,,,,,•nAMDフォロー症例で、GA疑いのモニタリングが十分でない,〇,,,,nAMDフォロー症例では滲出所見の評価が優先され、GA併存を疑う契機や確認プロセスが体系化されておらず、意図的に評価されない限り見逃されやすい。,nAMDフォローにおいて滲出評価が優先される中、GA併存を疑うトリガー（構造変化、視機能変化等）や確認プロセスが明確でない。検出のための評価視点と診療フロー上の位置づけの整理が必要。,nAMDフォローでGAを疑うトリガー
,,,,,2,"GAを発見・モニタリングする
検査手法の未浸透",•FAFまで実施していない,〇,,,,GA診療でFAFをいつ行い、診断・病型把握・進行評価・継続判断のどこに位置づけるかが明確でなく、検査導入や実施頻度の判断がばらついている。検査の意味づけが未整理である。,FAFの臨床的位置づけ、実施対象、実施頻度、OCT等との使い分けを整理する必要がある。,"FAFの目的・対象・頻度
OCT等との使い分け
FAF未導入施設における対応ミドウニュウシセツタイオウ"
,,,,,,,•FAF実施の意義の未浸透,〇,,,,FAFの有用性が概念としては知られていても、画像所見の読み方や患者説明への結び付けが十分でなく、費用・運用負担を上回る価値として腹落ちしにくい。,FAF所見の典型例、診断や投与判断に寄与する場面、患者説明への活用方法を整理する必要がある。,FAF典型所見と活用場面
,,,c,確定診断,1,鑑別疾患への自信不足,•他の萎縮性疾患との鑑別が極めて難しいと考えている,〇,,,,cRORA/iRORAや他の萎縮性疾患との鑑別が難しく、専門医でも確定診断に心理的ハードルがある。境界症例で誤診や過小診断を避けたい意識が強く、判断が保守的になりやすい。,最低限押さえるべき鑑別ポイント、必要な追加検査、専門医間での判断のばらつきを整理する必要がある。ヒツヨウ,鑑別に必要な最低限の所見
,,,,,,,•境界不明瞭・鑑別困難への不安,〇,,,,病変境界が不明瞭な症例や除外診断が必要な症例では、画像だけで判断し切れず治療提案が遅れやすい。曖昧さを扱う実践知が共有されておらず、施設間差も生じやすい。,境界不明瞭例での考え方、経時変化の見方、追加検査や専門施設相談の基準を整理する必要がある。画像共有や症例検討の場をどのように設けるかも方向性として重要である。,境界症例での判断手順
,,,,,2,検査結果の読影スキルの不足,•読影および確定診断スキルは習得には経験を要する一方で、患者が少なく、スキルを得るうえで必要な経験も十分に得られにくい,〇,,,"〇
（スタッフ）",GA症例数が限られ読影経験が蓄積しにくいため、FAFやOCTを統合した確定診断スキルが個人依存になりやすい。経験の少ない医師ほど不安が残りやすい。,典型例・非典型例等の「鑑別に役立つ症例画像集」、症例ベース学習、一般医と専門医で必要な到達点を整理する必要がある。スタッフ教育まで含めるべきかも検討が必要。トウケントウヒツヨウ,「鑑別に役立つ症例画像集」と症例学習の内容
,C,治療,a,投薬判断,1,薬剤投与の判断基準の欠如,•年齢、片眼・両眼の程度、視力・生活への影響、nAMDの併発の有無、GAのサブタイプ毎の進行速度など、考えるべき要素が多い,〇,,,,年齢、病変の左右差、視機能、生活背景、併存nAMDなど判断要素が多く、医師が何を優先して投与可否を決めるか統一した考え方がない。判断の軸が施設や医師で揺れやすい。,投与判断で考慮すべき視力、病変位置、片眼・両眼、進行速度、生活影響をどう重み付けるか整理が必要である。症例プロファイルごとの考え方も含む。フク,投与判断に用いる評価項目と重み付け
,,,,,,,•中心窩に及んだ症例で治療メリットの見通しが不明確,〇,,,,中心窩進展例では残存視機能や進行抑制余地の見通しが不明確で、侵襲性・費用に見合う治療価値を説明しにくい。,中心窩病変例で投与を検討する条件、期待できる価値、見送る場合の考え方を整理する必要がある。視力だけでなく生活機能や患者希望をどう扱うかも確認が必要である。,中心窩病変例での投与検討条件
,,,b,IC,1,進行抑制という概念の価値伝達の困難さ,•医師が進行抑制のメリットを患者と合意できない,〇,,〇,,進行抑制は症状改善として体感されず、IC時に価値を言語化しにくいため、患者との合意形成が難しい。負担を上回る便益の説明枠組みが藤生敏。ジフジュウビン,進行抑制の説明ストーリー、将来の生活機能との結び付けを整理する必要がある。,進行抑制を伝える説明ストーリー
,,,,,,,•患者が変化を体感しにくい（変化がないことが成果）,〇,,〇,,患者は治療効果を実感しにくく、注射負担や通院負担の方が先に認識されやすい。『変化がないことが成果』という治療概念が共有されにくい。,患者が理解しやすい比喩、経時的な説明資材、家族も含めた説明タイミングを整理する必要がある。どの指標や画像を見せると納得につながるか検討が必要である。,患者向け比喩・説明資材・提示指標
,,,c,"投与/
AEマネジメント",1,安全性リスクに対する不安,•眼圧上昇への懸念,〇,,,,眼圧上昇など安全性リスクへの不安が、投与開始や継続判断の障壁となる。,モニタリング方法、初期対応、継続可否判断を整理する必要がある。どの事象を事前説明の必須項目とし、誰が説明するかも論点となる。,"安全性事象の説明項目とモニタリング方法
初期対応と継続可否判断の基準"
,,,,,,,•MNV発症リスクへの不安,〇,,,,MNV発症リスクによる、投与便益よりリスクが強く想起されやすい。発症時の予後や対応見通しが十分共有されておらず、治療提案を鈍らせうる。,MNV発症時の検出方法、治療介入、IZV継続可否、患者説明の考え方を整理する必要がある。,"MNV検出方法と対応手順
IZV継続可否の考え方"
,,,,,,,•発症時の対応・投与継続可否が明確でないこと,〇,,,,有害事象発症時に何をもって休薬・中止・再開とするかが明確でなく、施設ごとに対応が揺れやすい。運用フローが不足。,AE発生時の院内フロー、連携先、再開基準、患者への緊急受診指導を整理する必要がある。標準化できる範囲と個別判断に委ねる範囲の切り分けが論点となる。,AE発生時の休薬・再開基準と受診指導ハッセイジ
,,,d,効果判定/継続判断,1,継続判断に用いる評価指標の不足・不明確さ,•視力やGA面積以外の臨床的評価指標が不足,〇,,,,継続判断を支える指標が視力やGA面積中心で、視野、読書、日常生活機能など臨床的に重要な変化を捉える枠組みが十分でない。治療価値の可視化が難しい。,継続判断に用いる候補指標を整理し、実臨床で測定可能なものと研究的なものを分けて議論する必要がある。,継続判断に用いる指標群
,,,,,,,•継続・中止の判断基準が確立されていない,〇,,,,継続・中止の判断基準が確立されておらず、医師経験や患者希望に依存しやすい。中止後の再評価やフォロー方法も体系化されていないため、説明の一貫性を欠きやすい。,継続・中止・再開の判断時点と、その際に確認すべき項目を整理する必要がある。中止後フォローを一般眼科へ戻す条件や再紹介基準も検討課題である。,"継続・中止・再開の判断時期
中止後フォロー条件と再紹介基準ジキ"
,D,その他,a,,1,通院・診療体制における継続負担の大きさ,•毎月通院が高齢患者・家族にとって大きな負担,,,〇,,毎月通院や長期反復注射は高齢患者と家族の移動・時間・介護負担が大きく、医学的妥当性があっても継続困難になりやすい。,通院負担を踏まえた患者選択、家族支援、地域連携、逆紹介活用の方向性を整理する必要がある。,継続可能性を踏まえた患者選択の観点
,,,,,,,•検査運用・スタッフ負荷への懸念,,,,"〇
（スタッフ）",FAFやモニタリング検査、注射前後対応はスタッフ負荷と外来滞留を増やし、施設導入の障壁となる。診断・治療フローが院内で最適化されておらず、属人的運用になりやすい。,検査・説明・投与を誰が担うか、院内オペレーションをどう標準化するか整理が必要である。スタッフ教育、人的配置、収支前提まで含めるかは確認が必要である。,院内オペレーション標準化とスタッフの教育項目
